timestamp,voltage,anomaly
2025-06-26T15:42:21.944638,116.59,0
2025-06-26T15:42:21.955834,105.29,1
2025-06-26T15:42:21.966163,120.51,0
2025-06-26T15:42:21.976526,119.67,0
2025-06-26T15:42:21.986883,112.85,1
2025-06-26T15:42:21.997136,114.26,0
2025-06-26T15:42:22.007523,110.79,0
2025-06-26T15:42:22.017905,121.02,0
2025-06-26T15:42:22.028154,110.22,0
2025-06-26T15:42:22.038359,114.75,0
2025-06-26T15:42:22.048670,113.07,0
2025-06-26T15:42:22.059132,121.05,0
2025-06-26T15:42:22.069381,110.68,0
2025-06-26T15:42:22.079770,119.53,0
2025-06-26T15:42:22.090394,113.89,0
2025-06-26T15:42:22.100961,118.6,1
2025-06-26T15:42:22.111290,0.0,1
2025-06-26T15:42:22.121635,122.62,0
2025-06-26T15:42:22.131853,0.0,1
2025-06-26T15:42:22.142461,119.42,1
2025-06-26T15:42:22.152727,0.0,1
2025-06-26T15:42:22.162812,116.1,0
2025-06-26T15:42:22.173031,112.52,0
2025-06-26T15:42:22.183198,118.38,0
2025-06-26T15:42:22.193633,97.67,1
2025-06-26T15:42:22.204151,115.53,0
2025-06-26T15:42:22.214421,117.67,0
2025-06-26T15:42:22.224591,112.2,0
2025-06-26T15:42:22.234834,110.08,0
2025-06-26T15:42:22.245286,118.0,0
2025-06-26T15:42:22.255536,122.59,0
2025-06-26T15:42:22.266209,110.09,0
2025-06-26T15:42:22.276749,0.0,1
2025-06-26T15:42:22.287269,117.09,0
2025-06-26T15:42:22.297724,123.04,0
2025-06-26T15:42:22.308233,123.77,0
2025-06-26T15:42:22.318674,123.16,0
2025-06-26T15:42:22.329193,113.48,0
2025-06-26T15:42:22.339834,111.86,0
2025-06-26T15:42:22.350169,122.22,0
2025-06-26T15:42:22.360784,111.33,0
2025-06-26T15:42:22.371289,115.44,0
2025-06-26T15:42:22.381480,112.3,0
2025-06-26T15:42:22.392050,112.62,0
2025-06-26T15:42:22.402763,119.92,0
2025-06-26T15:42:22.413304,122.67,0
2025-06-26T15:42:22.423626,119.13,0
2025-06-26T15:42:22.434035,116.81,0
2025-06-26T15:42:22.444245,120.78,0
2025-06-26T15:42:22.454616,121.23,0
2025-06-26T15:42:22.464977,113.01,0
2025-06-26T15:42:22.475603,115.35,0
2025-06-26T15:42:22.486368,122.99,0
2025-06-26T15:42:22.496767,95.47,1
2025-06-26T15:42:22.507287,122.83,0
2025-06-26T15:42:22.517780,113.44,0
2025-06-26T15:42:22.527990,120.69,0
2025-06-26T15:42:22.538486,115.84,0
2025-06-26T15:42:22.549035,114.89,0
2025-06-26T15:42:22.559472,121.85,0
2025-06-26T15:42:22.569983,118.92,0
2025-06-26T15:42:22.580535,0.0,1
2025-06-26T15:42:22.590824,120.64,0
2025-06-26T15:42:22.601469,122.32,0
2025-06-26T15:42:22.611907,113.72,0
2025-06-26T15:42:22.622348,120.2,0
2025-06-26T15:42:22.632702,95.08,1
2025-06-26T15:42:22.643144,106.6,1
2025-06-26T15:42:22.653767,111.18,0
2025-06-26T15:42:22.664505,120.74,0
2025-06-26T15:42:22.675236,115.42,0
2025-06-26T15:42:22.685683,116.49,0
2025-06-26T15:42:22.696187,112.98,0
2025-06-26T15:42:22.706426,117.18,0
2025-06-26T15:42:22.716694,117.33,0
2025-06-26T15:42:22.727190,114.87,0
2025-06-26T15:42:22.737708,110.78,0
2025-06-26T15:42:22.748220,110.26,0
2025-06-26T15:42:22.758994,118.62,0
2025-06-26T15:42:22.769699,116.07,1
2025-06-26T15:42:22.780129,112.51,0
2025-06-26T15:42:22.790675,120.59,0
2025-06-26T15:42:22.800944,115.52,0
2025-06-26T15:42:22.811191,120.74,0
2025-06-26T15:42:22.821772,118.3,0
2025-06-26T15:42:22.832551,111.47,0
2025-06-26T15:42:22.843115,121.54,0
2025-06-26T15:42:22.853480,110.22,0
2025-06-26T15:42:22.864068,114.39,1
2025-06-26T15:42:22.874795,110.99,0
2025-06-26T15:42:22.885220,120.5,0
2025-06-26T15:42:22.895758,110.16,0
2025-06-26T15:42:22.906194,121.22,0
2025-06-26T15:42:22.916701,121.48,0
2025-06-26T15:42:22.927341,119.26,0
2025-06-26T15:42:22.937675,120.58,0
2025-06-26T15:42:22.948282,112.57,0
2025-06-26T15:42:22.958931,0.0,1
2025-06-26T15:42:22.969677,111.35,0
2025-06-26T15:42:22.980115,119.86,0
2025-06-26T15:42:22.990635,115.97,0
2025-06-26T15:42:23.001127,121.26,0
2025-06-26T15:42:23.011779,0.0,1
2025-06-26T15:42:23.022485,110.23,0
2025-06-26T15:42:23.033080,113.36,0
2025-06-26T15:42:23.043423,120.68,0
2025-06-26T15:42:23.053747,119.23,0
2025-06-26T15:42:23.064116,112.52,0
2025-06-26T15:42:23.074450,121.15,0
2025-06-26T15:42:23.084969,117.14,1
2025-06-26T15:42:23.095564,116.62,0
2025-06-26T15:42:23.105841,116.83,0
2025-06-26T15:42:23.116210,117.99,0
2025-06-26T15:42:23.126697,110.45,0
2025-06-26T15:42:23.137235,114.69,0
2025-06-26T15:42:23.147326,113.08,0
2025-06-26T15:42:23.157869,120.51,0
2025-06-26T15:42:23.168332,115.74,1
2025-06-26T15:42:23.178873,119.73,0
2025-06-26T15:42:23.189211,115.06,0
2025-06-26T15:42:23.199500,113.21,0
2025-06-26T15:42:23.209927,118.15,0
2025-06-26T15:42:23.220400,112.94,0
2025-06-26T15:42:23.230944,119.04,0
2025-06-26T15:42:23.241215,122.59,0
2025-06-26T15:42:23.251610,113.93,0
2025-06-26T15:42:23.262026,111.94,0
2025-06-26T15:42:23.272385,94.11,1
2025-06-26T15:42:23.282769,0.0,1
2025-06-26T15:42:23.293360,112.54,0
2025-06-26T15:42:23.304009,116.32,0
2025-06-26T15:42:23.314631,118.15,0
2025-06-26T15:42:23.325195,110.38,0
2025-06-26T15:42:23.335618,119.32,0
2025-06-26T15:42:23.345892,115.37,0
2025-06-26T15:42:23.356393,122.3,0
2025-06-26T15:42:23.366599,118.64,0
2025-06-26T15:42:23.376780,121.16,0
2025-06-26T15:42:23.387071,114.15,0
2025-06-26T15:42:23.397524,123.2,0
2025-06-26T15:42:23.407752,110.09,0
2025-06-26T15:42:23.418292,123.87,0
2025-06-26T15:42:23.428836,117.37,0
2025-06-26T15:42:23.439071,121.24,0
2025-06-26T15:42:23.449176,112.24,0
2025-06-26T15:42:23.459500,111.94,0
2025-06-26T15:42:23.469655,123.88,0
2025-06-26T15:42:23.480103,120.24,0
2025-06-26T15:42:23.490501,120.85,0
2025-06-26T15:42:23.501135,116.85,0
2025-06-26T15:42:23.511743,118.28,0
2025-06-26T15:42:23.522220,0.0,1
2025-06-26T15:42:23.532589,114.32,0
2025-06-26T15:42:23.543406,115.3,0
2025-06-26T15:42:23.553808,110.85,0
2025-06-26T15:42:23.564452,117.43,0
2025-06-26T15:42:23.574991,122.13,0
2025-06-26T15:42:23.585718,120.16,1
2025-06-26T15:42:23.596268,110.01,0
2025-06-26T15:42:23.606792,110.55,0
2025-06-26T15:42:23.617181,110.69,0
2025-06-26T15:42:23.627557,122.02,0
2025-06-26T15:42:23.638074,116.04,0
2025-06-26T15:42:23.648783,123.95,0
2025-06-26T15:42:23.659110,118.09,0
2025-06-26T15:42:23.669384,117.15,0
2025-06-26T15:42:23.679627,122.27,0
2025-06-26T15:42:23.689962,117.66,0
2025-06-26T15:42:23.700319,115.68,0
2025-06-26T15:42:23.710676,113.87,0
2025-06-26T15:42:23.721400,112.29,0
2025-06-26T15:42:23.732184,117.36,0
2025-06-26T15:42:23.742758,116.26,0
2025-06-26T15:42:23.753167,111.0,0
2025-06-26T15:42:23.763653,110.1,0
2025-06-26T15:42:23.774201,119.3,0
2025-06-26T15:42:23.784416,0.0,1
2025-06-26T15:42:23.794519,113.53,0
2025-06-26T15:42:23.804983,113.39,0
2025-06-26T15:42:23.815641,116.17,0
2025-06-26T15:42:23.826204,115.95,0
2025-06-26T15:42:23.837090,111.77,0
2025-06-26T15:42:23.847643,112.23,0
2025-06-26T15:42:23.858369,122.94,0
2025-06-26T15:42:23.869169,93.31,1
2025-06-26T15:42:23.879645,115.06,0
2025-06-26T15:42:23.890044,116.31,0
2025-06-26T15:42:23.900569,117.14,0
2025-06-26T15:42:23.911033,120.91,0
2025-06-26T15:42:23.921450,111.06,0
2025-06-26T15:42:23.932013,119.66,0
2025-06-26T15:42:23.942164,123.03,0
2025-06-26T15:42:23.952829,0.0,1
2025-06-26T15:42:23.963164,112.31,0
2025-06-26T15:42:23.973640,118.39,0
2025-06-26T15:42:23.984022,120.9,0
2025-06-26T15:42:23.994407,122.84,0
2025-06-26T15:42:24.004801,114.71,0
2025-06-26T15:42:24.015040,122.07,0
2025-06-26T15:42:24.025600,113.98,0
2025-06-26T15:42:24.036049,123.87,0
2025-06-26T15:42:24.046249,123.81,0
2025-06-26T15:42:24.056497,120.75,0
2025-06-26T15:42:24.067045,110.65,0
2025-06-26T15:42:24.077448,91.1,1
2025-06-26T15:42:24.087814,116.02,0
2025-06-26T15:42:24.098501,122.81,0
2025-06-26T15:42:24.109067,112.76,0
2025-06-26T15:42:24.119484,113.84,0
2025-06-26T15:42:24.130050,111.63,0
2025-06-26T15:42:24.140688,121.22,0
2025-06-26T15:42:24.151386,113.46,0
2025-06-26T15:42:24.161749,119.91,0
2025-06-26T15:42:24.172242,116.29,0
2025-06-26T15:42:24.182391,116.28,0
2025-06-26T15:42:24.192645,123.25,0
2025-06-26T15:42:24.202956,114.44,0
2025-06-26T15:42:24.213596,118.6,0
2025-06-26T15:42:24.223996,110.39,0
2025-06-26T15:42:24.234329,121.09,0
2025-06-26T15:42:24.244579,116.8,0
2025-06-26T15:42:24.255047,112.89,0
